Co-Occurring Word,Percent Co-Occurrence,word
law,28.26086956521739,shooting
victim,21.73913043478261,shooting
school,21.73913043478261,shooting
people,17.391304347826086,shooting
family,17.391304347826086,shooting
terrible,17.391304347826086,shooting
police,15.217391304347828,shooting
great,15.217391304347828,shooting
responder,15.217391304347828,shooting
first,15.217391304347828,shooting
prayer,15.217391304347828,shooting
texas,15.217391304347828,shooting
spoke,15.217391304347828,shooting
today,15.217391304347828,shooting
thought,13.043478260869565,shooting
killing,13.043478260869565,shooting
california,13.043478260869565,shooting
god,13.043478260869565,shooting
federal,10.869565217391305,shooting
thank,10.869565217391305,shooting
help,10.869565217391305,shooting
officer,10.869565217391305,shooting
condolence,10.869565217391305,shooting
must,8.695652173913043,shooting
border,46.666666666666664,socialism
tax,40.0,socialism
open,40.0,socialism
democrat,40.0,socialism
worker,33.33333333333333,socialism
party,33.33333333333333,socialism
blatant,33.33333333333333,socialism
american,33.33333333333333,socialism
lateterm,33.33333333333333,socialism
republican,33.33333333333333,socialism
abortion,33.33333333333333,socialism
high,33.33333333333333,socialism
family,33.33333333333333,socialism
dream,33.33333333333333,socialism
corruption,33.33333333333333,socialism
crime,33.33333333333333,socialism
people,26.666666666666668,socialism
liberty,20.0,socialism
back,20.0,socialism
venezuela,20.0,socialism
president,20.0,socialism
power,20.0,socialism
day,20.0,socialism
kag2020,20.0,socialism
fishing,13.333333333333334,socialism
china,43.54838709677419,tariff
country,31.182795698924732,tariff
deal,26.881720430107524,tariff
trade,26.344086021505376,tariff
billion,22.043010752688172,tariff
product,21.50537634408602,tariff
united,18.817204301075268,tariff
state,18.817204301075268,tariff
usa,17.20430107526882,tariff
make,17.20430107526882,tariff
company,16.129032258064516,tariff
good,15.591397849462366,tariff
dollar,15.591397849462366,tariff
great,15.053763440860216,tariff
year,14.516129032258066,tariff
